Site;Página;Indicador;Tipo;Texto atual
ESI;Footer;1.35;contato;"contato@esiexata.com.br"
ESI;Footer;1.36;contato;"(41) 3527 7007"
ESI;Footer;1.37;contato;"R. Jorge B. Crocetti, 231 — Curitiba – PR"
ESI;Footer;1.38;legal;"© 2026 ESI Exata. Todos os direitos reservados."
ESI;Footer;1.39;legal;"Política de Privacidade"
ESI;Footer;1.40;legal;"Termos de Uso"
ESI;Cookie Consent;1.41;body;"Usamos cookies para análise de tráfego e personalização de anúncios. Ao aceitar, você concorda com nossa Política de Privacidade, conforme a LGPD (Lei 13.709/2018)."
ESI;Cookie Consent;1.42;button;"Recusar"
ESI;Cookie Consent;1.43;button;"Aceitar cookies"
ESI;Home — Hero;2.1;badge;"C&A · Riachuelo · Atacadão · Assaí · Santos Brasil · Porto de Chibatão · Edge Gas · IMPASA · ILS Agro"
ESI;Home — Hero;2.2;heading;"Segurança evita problemas antes deles acontecerem."
ESI;Home — Hero;2.3;subheading;"A engenharia de imagem, detecção térmica e prevenção de perdas por trás das maiores operações de varejo, porto, energia e agro do Brasil. Há 21 anos."
ESI;Home — Hero;2.4;cta-primary;"Quero um diagnóstico"
ESI;Home — Hero;2.5;cta-secondary;"Comprar na ESI Store"
ESI;Home — Hero;2.6;stat-numero;"21+"
ESI;Home — Hero;2.7;stat-label;"anos de operação"
ESI;Home — Hero;2.8;stat-detalhe;"Desde 2004"
ESI;Home — Hero;2.9;stat-numero;"1.170+"
ESI;Home — Hero;2.10;stat-label;"unidades varejo"
ESI;Home — Hero;2.11;stat-detalhe;"Grandes redes nacionais"
ESI;Home — Hero;2.12;stat-numero;"5"
ESI;Home — Hero;2.13;stat-label;"centros logísticos"
ESI;Home — Hero;2.14;stat-detalhe;"Distribuição nacional"
ESI;Home — Hero;2.15;stat-numero;"2"
ESI;Home — Hero;2.16;stat-label;"portos atendidos"
ESI;Home — Hero;2.17;stat-detalhe;"Santos · Chibatão"
ESI;Home — Clientes;2.18;heading;"Empresas que confiam na ESI Exata"
ESI;Home — Clientes;2.19;sub;"Grandes marcas de diferentes setores escolheram a ESI Exata como parceira tecnológica."
ESI;Home — Clientes;2.20;cliente;"Carrefour (Varejo)"
ESI;Home — Clientes;2.21;cliente;"Atacadão (Varejo)"
ESI;Home — Clientes;2.22;cliente;"Assaí (Varejo)"
ESI;Home — Clientes;2.23;cliente;"Santos Brasil (Portuário)"
ESI;Home — Clientes;2.24;cliente;"Porto de Chibatão (Portuário)"
ESI;Home — Clientes;2.25;cliente;"Edge Gas (Energia)"
ESI;Home — Clientes;2.26;cliente;"Inpasa (Agronegócio)"
ESI;Home — Clientes;2.27;cliente;"C&A (Varejo)"
ESI;Home — Agro Spotlight;2.28;kicker;"★ FILIAL ESPECIALIZADA"
ESI;Home — Agro Spotlight;2.29;heading;"É do agro? Vai direto pra ESI Agro."
ESI;Home — Agro Spotlight;2.30;body;"Filial em Sinop/MT com soluções dedicadas: totem autônomo, unidade móvel, IA treinada pro campo."
ESI;Home — Agro Spotlight;2.31;button;"Conhecer ESI Agro →"
ESI;Home — Editorial;2.32;kicker;"@ESI_EXATA"
ESI;Home — Editorial;2.33;heading;"Tecnologia que opera onde outros não chegam."
ESI;Home — Editorial;2.34;quote;"Segurança evita problemas antes deles acontecerem."
ESI;Home — Editorial;2.35;quote-label;"Comunicação em Campo"
ESI;Home — Editorial;2.36;quote;"Prevenir é melhor que remediar."
ESI;Home — Editorial;2.37;quote-label;"Monitoramento de Infraestrutura"
ESI;Home — Editorial;2.38;quote;"Não é luxo. É proteção."
ESI;Home — Editorial;2.39;quote-label;"Instalação em Altura"
ESI;Home — Editorial;2.40;quote;"Incidentes mancham reputações."
ESI;Home — Editorial;2.41;quote;"Segurança inteligente age antes."
ESI;Home — Editorial;2.42;quote;"Veja tudo. Controle tudo."
ESI;Home — Setores;2.43;kicker;"SETORES"
ESI;Home — Setores;2.44;heading;"Soluções específicas para os desafios de cada setor."
ESI;Home — Setores;2.45;sub;"Cada mercado tem sua complexidade. Nossos sistemas foram desenvolvidos para cada realidade operacional."
ESI;Home — Setores;2.46;setor-titulo;"Varejo"
ESI;Home — Setores;2.47;setor-badge;"Eixo principal · Grandes redes"
ESI;Home — Setores;2.48;setor-subtitulo;"Prevenção de perdas em escala nacional."
ESI;Home — Setores;2.49;setor-descricao;"CFTV integrado com analítico e controle de acesso em centenas de lojas. Operação padronizada, centralizada e auditável — do hipermercado ao centro de distribuição."
ESI;Home — Setores;2.50;setor-clientes;"Assaí, Atacadão, C&A, Riachuelo"
ESI;Home — Setores;2.51;setor-titulo;"Portuário"
ESI;Home — Setores;2.52;setor-badge;"Ambientes de missão crítica"
ESI;Home — Setores;2.53;setor-subtitulo;"Quando parar não é opção."
ESI;Home — Setores;2.54;setor-descricao;"Imagem em ambiente salino, controle de pátio e vistoria de containers com câmeras térmicas e laser. Operação ininterrupta certificada, cobertura 24/7."
ESI;Home — Setores;2.55;setor-clientes;"Santos Brasil, Porto de Chibatão"
ESI;Home — Setores;2.56;setor-titulo;"Energia & Gás"
ESI;Home — Setores;2.57;setor-badge;"Detecção precoce"
ESI;Home — Setores;2.58;setor-subtitulo;"Ver o invisível antes que ele vaze."
ESI;Home — Setores;2.59;setor-descricao;"Detecção laser de partículas explosivas e câmeras EX para ambientes classificados."
ESI;Home — Setores;2.60;setor-clientes;"Edge Gas"
ESI;Home — Setores;2.61;setor-titulo;"Agronegócio"
ESI;Home — Setores;2.62;setor-badge;"Filial ESI Agro · Sinop MT"
ESI;Home — Setores;2.63;setor-subtitulo;"Engenharia no coração do campo."
ESI;Home — Setores;2.64;setor-descricao;"Vigilância de silos e cerealistas com câmeras térmicas, IA embarcada em áreas abertas. Time dedicado instalado em Sinop."
ESI;Home — Setores;2.65;setor-clientes;"IMPASA, ILS Agro"
ESI;Home — Setores;2.66;setor-titulo;"Healthcare"
ESI;Home — Setores;2.67;setor-badge;"Linha nova · 2025"
ESI;Home — Setores;2.68;setor-subtitulo;"Cuidado que respeita a dignidade."
ESI;Home — Setores;2.69;setor-descricao;"Sensores de detecção de queda para ILPI e home care. Monitoramento não-invasivo de quartos — alerta em segundos, sem câmera no ambiente privado."
ESI;Home — Setores;2.70;setor-nota;"Em expansão"
ESI;Home — Soluções;2.71;kicker;"SOLUÇÕES"
ESI;Home — Soluções;2.72;heading;"Tecnologia integrada do sensor ao dashboard."
ESI;Home — Soluções;2.73;sub;"Hardware de ponta, software proprietário e IA embarcada — tudo sob uma arquitetura unificada de segurança e gestão operacional."
ESI;Home — Soluções;2.74;card-tag;"VÍDEO"
ESI;Home — Soluções;2.75;card-titulo;"Monitoramento por Vídeo"
ESI;Home — Soluções;2.76;card-descricao;"Câmeras analíticas de alta resolução com IA embarcada. Detecção de comportamentos suspeitos, contagem de pessoas, análise de fluxo e alertas automáticos em tempo real."
ESI;Home — Soluções;2.77;card-feature;"Câmeras IP e analógicas HD/4K"
ESI;Home — Soluções;2.78;card-feature;"Análise comportamental por IA"
ESI;Home — Soluções;2.79;card-feature;"Alertas em tempo real"
ESI;Home — Soluções;2.80;card-feature;"Integração com alarmes e ERP"
ESI;Home — Soluções;2.81;card-tag;"IMAGEM TÉRMICA"
ESI;Home — Soluções;2.82;card-titulo;"Câmeras Térmicas & Laser"
ESI;Home — Soluções;2.83;card-descricao;"Câmeras térmicas e laser para detecção precoce de riscos em ambientes industriais e classificados. Monitoramento contínuo de temperatura, vazamentos e anomalias sem contato."
ESI;Home — Soluções;2.84;card-feature;"Câmeras térmicas de alta precisão"
ESI;Home — Soluções;2.85;card-feature;"Detecção laser de partículas"
ESI;Home — Soluções;2.86;card-feature;"Monitoramento 24/7 sem contato"
ESI;Home — Soluções;2.87;card-feature;"Integração com alarmes e dashboards"
ESI;Home — Soluções;2.88;card-tag;"IA"
ESI;Home — Soluções;2.89;card-titulo;"Inteligência Artificial"
ESI;Home — Soluções;2.90;card-descricao;"Algoritmos de visão computacional treinados para os padrões comportamentais de cada setor. Análise contínua sem intervenção humana — da detecção de irregularidades ao reconhecimento de padrões de risco."
ESI;Home — Soluções;2.91;card-feature;"Visão computacional embarcada"
ESI;Home — Soluções;2.92;card-feature;"Detecção de anomalias"
ESI;Home — Soluções;2.93;card-feature;"Reconhecimento de padrões de risco"
ESI;Home — Soluções;2.94;card-feature;"Dashboards preditivos"
ESI;Home — Soluções;2.95;card-tag;"SUBESTAÇÃO"
ESI;Home — Soluções;2.96;card-titulo;"Câmera Microfônica"
ESI;Home — Soluções;2.97;card-descricao;"Câmera microfônica para detecção de ruídos de fuga e energia em subestações. Monitoramento acústico contínuo que identifica falhas antes que se tornem incidentes críticos."
ESI;Home — Soluções;2.98;card-feature;"Detecção acústica de falhas"
ESI;Home — Soluções;2.99;card-feature;"Monitoramento contínuo de subestações"
ESI;Home — Soluções;2.100;card-feature;"Alertas preditivos em tempo real"
ESI;Home — Soluções;2.101;card-feature;"Integração com sistemas de manutenção"
ESI;Home — Cases;2.102;kicker;"CASES"
ESI;Home — Cases;2.103;heading;"Resultados que se medem em números."
ESI;Home — Cases;2.104;sub;"Cada projeto é único. Cada resultado é auditável."
ESI;Home — Cases;2.105;case-titulo;"Rede varejista reduz perdas com monitoramento comportamental"
ESI;Home — Cases;2.106;case-descricao;"Implementação de CFTV com IA em lojas distribuídas pelo país. Correlação de eventos com ERP e alertas comportamentais em tempo real."
ESI;Home — Cases;2.107;case-setor;"Varejo"
ESI;Home — Cases;2.108;case-kpi;"-40% Perdas operacionais"
ESI;Home — Cases;2.109;case-kpi;"12m Projeto"
ESI;Home — Cases;2.110;case-titulo;"Porto automatiza leitura de containers com câmeras OCR"
ESI;Home — Cases;2.111;case-descricao;"Implantação de câmeras de leitura OCR para identificação automatizada de containers. Eliminação de pontos cegos e redução do tempo de resposta a incidentes."
ESI;Home — Cases;2.112;case-setor;"Portos"
ESI;Home — Cases;2.113;case-kpi;"100% Cobertura de área"
ESI;Home — Cases;2.114;case-kpi;"0 Pontos cegos"
ESI;Home — Cases;2.115;case-titulo;"Planta industrial adota câmeras térmicas para detecção precoce"
ESI;Home — Cases;2.116;case-descricao;"Implantação de câmeras térmicas e laser para monitoramento contínuo de ambientes classificados. Detecção precoce de anomalias sem contato."
ESI;Home — Cases;2.117;case-setor;"Energia"
ESI;Home — Cases;2.118;case-kpi;"24/7 Monitoramento"
ESI;Home — Cases;2.119;case-kpi;"0 Falhas não detectadas"
ESI;Home — Parceiros;2.120;heading;"Parceiros de Tecnologia"
ESI;Home — Parceiros;2.121;sub;"Fabricantes e fornecedores de soluções líderes de mercado que integram nosso portfólio."
ESI;Home — Parceiros;2.122;parceiro;"Hikvision (CFTV)"
ESI;Home — Parceiros;2.123;parceiro;"Intelbras (CFTV)"
ESI;Home — Parceiros;2.124;parceiro;"Bosch (CFTV)"
ESI;Home — Parceiros;2.125;parceiro;"Hanwha Techwin (CFTV)"
ESI;Home — Parceiros;2.126;parceiro;"Pelco (CFTV)"
ESI;Home — Parceiros;2.127;parceiro;"Axis (CFTV)"
ESI;Home — Parceiros;2.128;parceiro;"Control-ID (Controle de Acesso)"
ESI;Home — Parceiros;2.129;parceiro;"Nexans (Cabeamento)"
ESI;Home — Parceiros;2.130;parceiro;"Furukawa (Cabeamento)"
ESI;Home — Parceiros;2.131;parceiro;"Conscope (Infraestrutura)"
ESI;Home — Parceiros;2.132;parceiro;"Pirelli (Cabeamento)"
ESI;Home — Parceiros;2.133;parceiro;"ISS (Software VMS)"
ESI;Home — Parceiros;2.134;parceiro;"Axxon (Software VMS)"
ESI;Home — Parceiros;2.135;parceiro;"Digifort (Software VMS)"
ESI;Home — Parceiros;2.136;parceiro;"Seventh (Software)"
ESI;Home — P&D;2.137;kicker;"esi | p&d · engenharia customizada"
ESI;Home — P&D;2.138;heading;"Quando o catálogo não resolve, a gente desenvolve."
ESI;Home — P&D;2.139;sub;"Hardware, firmware, analítico de borda, adaptação para ambientes classificados. Se o que você precisa não existe, nós projetamos."
ESI;Home — P&D;2.140;cta-primary;"Traga o seu desafio"
ESI;Home — P&D;2.141;cta-secondary;"Ver projetos P&D"
ESI;Home — P&D;2.142;pilar-titulo;"Integração de sistemas"
ESI;Home — P&D;2.143;pilar-descricao;"conectamos plataformas proprietárias que nenhum integrador quis tocar"
ESI;Home — P&D;2.144;pilar-titulo;"Hardware sob medida"
ESI;Home — P&D;2.145;pilar-descricao;"placas, gateways e suportes para ambientes atípicos"
ESI;Home — P&D;2.146;pilar-titulo;"Firmware customizado"
ESI;Home — P&D;2.147;pilar-descricao;"comportamentos específicos da sua operação, não do fabricante"
ESI;Home — P&D;2.148;pilar-titulo;"Analítico de borda"
ESI;Home — P&D;2.149;pilar-descricao;"modelos de IA treinados com o seu dado, na sua realidade"
ESI;Home — Store;2.150;kicker;"ESI STORE"
ESI;Home — Store;2.151;heading;"Tecnologia de ponta. Disponível agora."
ESI;Home — Store;2.152;sub;"Câmeras, sensores térmicos, laser e acessórios — com suporte técnico ESI Exata."
ESI;Home — Store;2.153;categoria;"Câmeras IP & Analógicas"
ESI;Home — Store;2.154;categoria;"Câmeras Térmicas & Laser"
ESI;Home — Store;2.155;categoria;"Bodycams"
ESI;Home — Store;2.156;categoria;"Acessórios e Insumos"
ESI;Home — Store;2.157;cta;"Ver catálogo completo →"
ESI;Home — Store;2.158;nota;"Soluções corporativas e projetos customizados: consulte nossa equipe comercial."
ESI;Home — Contato;2.159;kicker;"VAMOS CONVERSAR"
ESI;Home — Contato;2.160;heading;"Qual é o desafio da sua operação?"
ESI;Home — Contato;2.161;body;"Nossa equipe técnica analisa o seu cenário e propõe a solução mais eficiente — sem custo e sem compromisso."
ESI;Home — Contato;2.162;telefone;"(41) 3527 7007"
ESI;Home — Contato;2.163;escritorio-titulo;"Curitiba — PR (Sede)"
ESI;Home — Contato;2.164;escritorio-endereco;"R. Jorge B. Crocetti, 231 — Capão da Imbuia — CEP 82800-080"
ESI;Home — Contato;2.165;escritorio-telefone;"(41) 3527 7007"
ESI;Home — Contato;2.166;escritorio-email;"contato@esiexata.com.br"
ESI;Home — Contato;2.167;secao-titulo;"Nossas Sedes"
ESI;Home — Contato;2.168;form-titulo;"Fale com nossa equipe"
ESI;Home — Contato;2.169;form-sub;"Preencha o formulário e retornaremos em até 1 dia útil."
ESI;Home — Contato;2.170;form-campo;"Nome completo *"
ESI;Home — Contato;2.171;form-campo;"E-mail corporativo *"
ESI;Home — Contato;2.172;form-campo;"Telefone / WhatsApp *"
ESI;Home — Contato;2.173;form-campo;"Empresa *"
ESI;Home — Contato;2.174;form-campo;"Setor de atuação *"
ESI;Home — Contato;2.175;form-opcoes;"Varejo, Portos, Energia, Agronegócio, Healthcare, Outro"
ESI;Home — Contato;2.176;form-campo;"Descreva seu desafio ou necessidade"
ESI;Home — Contato;2.177;form-button;"Enviar mensagem →"
ESI;Home — Contato;2.178;form-sucesso;"Mensagem recebida. Retornaremos em até 1 dia útil."
ESI;Home — Contato;2.179;form-erro;"Erro ao enviar. Tente novamente ou ligue: (41) 3527 7007"
ESI;IA — Meta;3.1;meta-title;"Inteligência Artificial · ESI Exata"
ESI;IA — Meta;3.2;meta-description;"Visão computacional treinada para reconhecer objetos, comportamentos e anomalias específicos da sua operação. Portos, varejo, indústria."
ESI;IA — Meta;3.3;og-title;"Toda câmera grava. A nossa solução pensa."
ESI;IA — Meta;3.4;og-description;"IA treinada com o seu vídeo, na sua realidade — não com banco de imagens estrangeiro."
ESI;IA — Hero;3.5;badge;"esi · visão computacional"
ESI;IA — Hero;3.6;heading;"Toda câmera grava. A nossa solução pensa."
ESI;IA — Hero;3.7;body;"Visão computacional treinada para reconhecer o objeto, o comportamento e a anomalia que importam para a sua operação. Do contêiner no pátio ao SKU na gôndola, do EPI na linha ao vazamento na válvula — a gente ensina a máquina a olhar pelo seu olho."
ESI;IA — Hero;3.8;cta-primary;"Treinar para meu cenário →"
ESI;IA — Hero;3.9;cta-secondary;"Ver catálogo de algoritmos"
ESI;IA — Hero;3.10;stat;"12+ algoritmos prontos — Catálogo treinado e validado"
ESI;IA — Hero;3.11;stat;"∞ objetos customizáveis — Treinamos para o seu cenário"
ESI;IA — Hero;3.12;stat;"<200ms latência média — Inferência on-prem, sem nuvem"
ESI;IA — Hero;3.13;stat;"24/7 operação contínua — Sem fadiga, sem pausa"
ESI;IA — Abordagem;3.14;kicker;"Como trabalhamos"
ESI;IA — Abordagem;3.15;heading;"IA treinada com o seu vídeo, na sua realidade — não com banco de imagens estrangeiro."
ESI;IA — Abordagem;3.16;step-titulo;"01 — Diagnóstico técnico"
ESI;IA — Abordagem;3.17;step-descricao;"Engenheiros visitam a operação, mapeiam câmeras, ângulos, iluminação e o objeto/comportamento alvo. Sem visita, não há projeto."
ESI;IA — Abordagem;3.18;step-titulo;"02 — Treino dirigido"
ESI;IA — Abordagem;3.19;step-descricao;"Coletamos amostras do seu vídeo real, anotamos manualmente e treinamos um modelo dedicado. Em 4–8 semanas, está em produção."
ESI;IA — Abordagem;3.20;step-titulo;"03 — Operação on-premise"
ESI;IA — Abordagem;3.21;step-descricao;"Inferência roda no DVR/servidor local. Sem upload de imagem para nuvem, sem dependência de banda. LGPD-friendly por design."
ESI;IA — Detectores;3.22;kicker;"O que detectamos · por setor"
ESI;IA — Detectores;3.23;heading;"Cada operação tem o seu objeto crítico. A gente treina para o seu."
ESI;IA — Detectores;3.24;setor-titulo;"PORTUÁRIO"
ESI;IA — Detectores;3.25;setor-sub;"Pátio, navio, contêiner — vistos do alto, lidos em tempo real."
ESI;IA — Detectores;3.26;detector-titulo;"Leitura de placas e contêineres"
ESI;IA — Detectores;3.27;detector-descricao;"OCR de chassis, BIC code e placas em ângulos extremos, com chuva ou sol contra"
ESI;IA — Detectores;3.28;detector-titulo;"Identificação de carga atípica"
ESI;IA — Detectores;3.29;detector-descricao;"Detecta cargas fora do padrão (volume, formato, vazamento aparente)"
ESI;IA — Detectores;3.30;detector-titulo;"Tracking de equipamento"
ESI;IA — Detectores;3.31;detector-descricao;"Reach stackers, RTGs e empilhadeiras geolocalizados por câmera"
ESI;IA — Detectores;3.32;detector-titulo;"Perimetria inteligente"
ESI;IA — Detectores;3.33;detector-descricao;"Distinção entre pessoa, animal e objeto — zero falso alarme noturno"
ESI;IA — Detectores;3.34;setor-titulo;"VAREJO & COMÉRCIO"
ESI;IA — Detectores;3.35;setor-sub;"O que sai pela porta. O que fica no estoque. O que muda no comportamento."
ESI;IA — Detectores;3.36;detector-titulo;"Detecção de produto específico"
ESI;IA — Detectores;3.37;detector-descricao;"Treinado para reconhecer SKUs críticos (perfumaria, eletrônicos, cosméticos)"
ESI;IA — Detectores;3.38;detector-titulo;"Comportamento suspeito em corredor"
ESI;IA — Detectores;3.39;detector-descricao;"Trocas de embalagem, ocultação, demora atípica em prateleira"
ESI;IA — Detectores;3.40;detector-titulo;"Contagem e mapa de calor"
ESI;IA — Detectores;3.41;detector-descricao;"Fluxo por hora, conversão por área, ociosidade de loja"
ESI;IA — Detectores;3.42;detector-titulo;"Reconhecimento facial em blacklist"
ESI;IA — Detectores;3.43;detector-descricao;"Alerta de reincidentes — uso restrito conforme LGPD"
ESI;IA — Detectores;3.44;setor-titulo;"INDUSTRIAL"
ESI;IA — Detectores;3.45;setor-sub;"Onde a NR exige olhos, a IA não pisca."
ESI;IA — Detectores;3.46;detector-titulo;"EPI e NR-12"
ESI;IA — Detectores;3.47;detector-descricao;"Capacete, luva, óculos, cinto — alerta no instante da omissão"
ESI;IA — Detectores;3.48;detector-titulo;"Detecção de vazamento e fumaça"
ESI;IA — Detectores;3.49;detector-descricao;"Visão térmica + IA para gases invisíveis e princípio de incêndio"
ESI;IA — Detectores;3.50;detector-titulo;"Aproximação a zona perigosa"
ESI;IA — Detectores;3.51;detector-descricao;"Zonas virtuais ao redor de prensas, esteiras e robôs colaborativos"
ESI;IA — Detectores;3.52;detector-titulo;"Postura ergonômica e queda"
ESI;IA — Detectores;3.53;detector-descricao;"Detecção de quedas em altura e posturas de risco para ginástica laboral"
ESI;IA — Catálogo;3.54;kicker;"Catálogo de algoritmos prontos"
ESI;IA — Catálogo;3.55;heading;"12 detectores de prateleira. Mais o seu, sob medida."
ESI;IA — Catálogo;3.56;sub;"Comece com qualquer um deles em 1 semana. Combine. Plugue na sua câmera, no seu DVR, no seu VMS."
ESI;IA — Catálogo;3.57;algoritmo;"Inteligência perimetral (segurança)"
ESI;IA — Catálogo;3.58;algoritmo;"Detecção de violência (segurança)"
ESI;IA — Catálogo;3.59;algoritmo;"Detecção de queda (saúde)"
ESI;IA — Catálogo;3.60;algoritmo;"Leitura de placas / LPR (operação)"
ESI;IA — Catálogo;3.61;algoritmo;"Proximidade entre pessoas (operação)"
ESI;IA — Catálogo;3.62;algoritmo;"Detecção de aglomerações (operação)"
ESI;IA — Catálogo;3.63;algoritmo;"Atitudes suspeitas (segurança)"
ESI;IA — Catálogo;3.64;algoritmo;"Reconhecimento facial (segurança)"
ESI;IA — Catálogo;3.65;algoritmo;"Contagem de pessoas (operação)"
ESI;IA — Catálogo;3.66;algoritmo;"Medição de temperatura (saúde)"
ESI;IA — Catálogo;3.67;algoritmo;"Busca forense em vídeo (operação)"
ESI;IA — Catálogo;3.68;algoritmo;"Detecção de objeto custom (p&d)"
ESI;IA — Arquitetura;3.69;kicker;"Arquitetura"
ESI;IA — Arquitetura;3.70;heading;"Tudo on-premise. Sem nuvem. Sem dependência."
ESI;IA — Arquitetura;3.71;bloco;"Câmeras — IP, analógicas, térmicas — qualquer marca"
ESI;IA — Arquitetura;3.72;bloco;"DVR/NVR + IA — Inferência na borda, on-prem"
ESI;IA — Arquitetura;3.73;bloco;"VMS / ERP — Integração com seu software de gestão"
ESI;IA — Arquitetura;3.74;bloco;"Alertas — WhatsApp, e-mail, painel ESI"
ESI;IA — Arquitetura;3.75;nota;"LGPD-friendly por design: nenhuma imagem de pessoa sai do site do cliente. Inferência local; só evento (texto) trafega."
ESI;IA — P&D;3.76;kicker;"esi · p&d"
ESI;IA — P&D;3.77;heading;"Não tem detector pronto pro seu objeto? A gente desenvolve."
ESI;IA — P&D;3.78;body;"Detectar uma peça específica em uma esteira. Reconhecer um padrão de avaria em contêiner. Identificar um SKU específico no carrinho. Casos que nenhum catálogo cobre. Aí entra a equipe de P&D."
ESI;IA — P&D;3.79;cta-primary;"Traga o seu desafio →"
ESI;IA — P&D;3.80;cta-secondary;"Ver projetos P&D"
ESI;IA — CTA;3.81;heading;"Mande seu cenário."
ESI;IA — CTA;3.82;sub;"Devolvemos um diagnóstico técnico em até 1 dia útil."
ESI;IA — CTA;3.83;button;"Falar com engenheiro ESI →"
ESI;EPI — Meta;4.1;meta-title;"Detecção de Capacetes e EPIs com IA · ESI Exata"
ESI;EPI — Meta;4.2;meta-description;"Sistema de visão computacional para detecção automática de capacetes e EPIs em tempo real. Reduza acidentes e garanta conformidade com NRs."
ESI;EPI — Meta;4.3;og-title;"IA que detecta quem está sem capacete — antes do acidente."
ESI;EPI — Hero;4.4;kicker;"Inteligência Artificial · Segurança do Trabalho"
ESI;EPI — Hero;4.5;heading;"IA que detecta quem está sem capacete — antes do acidente."
ESI;EPI — Hero;4.6;body;"Visão computacional treinada para reconhecer EPIs em tempo real. Alertas instantâneos para supervisores. Conformidade automática com NR-6, NR-12 e NR-35."
ESI;EPI — Hero;4.7;cta;"Solicitar demonstração →"
ESI;EPI — Hero;4.8;stat;"<1s Tempo de detecção"
ESI;EPI — Hero;4.9;stat;"99,2% Precisão média"
ESI;EPI — Hero;4.10;stat;"24/7 Monitoramento contínuo"
ESI;EPI — Hero;4.11;stat;"0 Hardware adicional"
ESI;EPI — Como funciona;4.12;kicker;"Como funciona"
ESI;EPI — Como funciona;4.13;heading;"Da câmera ao alerta em 3 passos"
ESI;EPI — Como funciona;4.14;step;"01 — Conectamos suas câmeras — Integração com CFTV existente — IP ou analógico. Sem trocar equipamento, sem obra."
ESI;EPI — Como funciona;4.15;step;"02 — Treinamos o modelo — IA calibrada com imagens reais da sua operação: capacetes, coletes, óculos, luvas e mais."
ESI;EPI — Como funciona;4.16;step;"03 — Monitoramento 24/7 — Detecção contínua com alertas instantâneos e relatórios de conformidade automáticos."
ESI;EPI — Benefícios;4.17;kicker;"Benefícios"
ESI;EPI — Benefícios;4.18;heading;"Segurança inteligente para sua operação industrial"
ESI;EPI — Benefícios;4.19;card;"Detecção em tempo real — Identifica automaticamente a presença ou ausência de capacetes, luvas, óculos e coletes em menos de 1 segundo."
ESI;EPI — Benefícios;4.20;card;"Alertas instantâneos — Notificação imediata para supervisores via painel, e-mail ou integração com sistemas de segurança existentes."
ESI;EPI — Benefícios;4.21;card;"Conformidade com NRs — Relatórios automáticos de conformidade com NR-6, NR-12 e NR-35. Evidências visuais para auditorias."
ESI;EPI — Benefícios;4.22;card;"Integração com câmeras existentes — Funciona com o seu parque de câmeras atual — CFTV analógico ou IP. Sem necessidade de trocar equipamentos."
ESI;EPI — Benefícios;4.23;card;"Dashboard analítico — Painel com métricas de conformidade por área, turno e colaborador. Histórico completo para gestão de SST."
ESI;EPI — Benefícios;4.24;card;"Treinado para sua operação — Modelo de IA calibrado com imagens do seu ambiente real — não com bancos de imagem genéricos."
ESI;EPI — EPIs detectados;4.25;kicker;"EPIs detectados"
ESI;EPI — EPIs detectados;4.26;heading;"O que nossa IA reconhece"
ESI;EPI — EPIs detectados;4.27;item;"Capacete, Óculos, Luvas, Colete, Cinto (NR-35), Máscara"
